track_id,title,artist,duration,popularity
7399,Blinding Lights,The Weeknd,155231,1
4733,Shape of You,Ed Sheeran,166970,10
4256,Uptown Funk,Mark Ronson ft. Bruno Mars,263103,10
8642,Closer,The Chainsmokers ft. Halsey,228265,8
4714,Levitating,Dua Lipa,225756,1
9927,Drivers License,Olivia Rodrigo,299481,6
7777,Bad Guy,Billie Eilish,255826,1
1080,Happier Than Ever,Billie Eilish,258669,4
9901,Dance Monkey,Tones and I,178615,9
9433,Old Town Road,Lil Nas X,191093,10
5083,Watermelon Sugar,Harry Styles,294199,8
7030,Sunflower,Post Malone & Swae Lee,246040,4
7554,Peaches,Justin Bieber,215480,0
6818,Save Your Tears,The Weeknd,172987,3
6718,Stay,The Kid LAROI & Justin Bieber,249611,4
4843,As It Was,Harry Styles,169638,1
2577,Anti-Hero,Taylor Swift,170425,8
9045,Good 4 U,Olivia Rodrigo,169177,6
4836,Montero (Call Me By Your Name),Lil Nas X,226717,0
9610,Shivers,Ed Sheeran,217229,0
